時間,設備,值
2024-10-19 09:33:34,Temperature,30.8
2024-10-19 09:33:34,LightLevel,3
2024-10-19 09:33:34,switch,8
2024-10-19 09:33:41,Temperature,31.3
2024-10-19 09:33:41,LightLevel,4
2024-10-19 09:33:44,LightLevel,3
2024-10-19 09:33:46,LightLevel,4
2024-10-19 09:33:52,Temperature,30.8
2024-10-19 09:33:52,Temperature,31.3
2024-10-19 09:33:52,LightLevel,3
2024-10-19 09:33:59,LightLevel,4
2024-10-19 09:33:59,LightLevel,1
2024-10-19 09:33:59,LightLevel,2
2024-10-19 09:34:00,LightLevel,1
2024-10-19 09:34:02,Temperature,31.7
2024-10-19 09:34:02,LightLevel,4
2024-10-19 09:34:04,Temperature,31.3
2024-10-19 09:34:06,LightLevel,3
2024-10-19 09:34:08,switch,10
2024-10-19 09:34:09,switch,9
2024-10-19 09:34:10,switch,7
2024-10-19 09:34:11,switch,5
2024-10-19 09:34:12,Temperature,30.8
2024-10-19 09:34:12,LightLevel,2
2024-10-19 09:34:13,switch,4
2024-10-19 09:34:14,Temperature,31.3
2024-10-19 09:34:14,LightLevel,3
2024-10-19 09:34:15,switch,3
2024-10-19 09:34:16,switch,2
2024-10-19 09:34:20,LightLevel,4
2024-10-19 09:34:26,LightLevel,3
2024-10-19 09:34:28,LightLevel,4
2024-10-19 09:34:32,Temperature,31.7
2024-10-19 09:34:32,LightLevel,3
2024-10-19 09:34:34,Temperature,31.3
2024-10-19 09:34:34,LightLevel,4
2024-10-19 09:34:36,Temperature,30.8
2024-10-19 09:34:38,Temperature,31.3
2024-10-19 09:34:42,LightLevel,3
2024-10-19 09:34:44,LightLevel,4
2024-10-19 09:34:48,LightLevel,3
2024-10-19 09:34:50,LightLevel,4
